tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,8.255476004022057,44.56914179860905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,5,1,0,L,0,0,0,0,,,,,44.56914179860905,None,None,249.83473228190996,None,248.84644214215587,249.85138496550644,249.33516492327544,None,1,[0.2080151863847277],[0.7081967097437882],249.83473228190996,None,[3 2 0 1 3 3 2 1],space,0,3.3067358274493017,0.007792804233758943,None,250.0512133200973,None,1,253.36504475865877,None,None,253.86461025716054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,6,1,2,L,0,1,1,1,,,,,,,None,254.89705605031122,None,253.90624542984733,254.90538431638197,254.39750023732995,None,1,[0.15844904645928182],[0.6589971443754621],254.89705605031122,None,[1 0 0 3 2 3 2 3],space,0,3.1132749017961032,0.0024336317255801987,None,255.0552562237499,None,1,258.16925225204614,None,None,258.6688228819497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,7,4,2,L,0,2,2,2,,,,,,,None,259.6929554825183,None,258.7188248062266,259.71794284644056,259.19341730873566,None,1,[0.525515577654005],[1.0332338482694468],259.6929554825183,None,[1 3 1 0 2 3 2 2],space,0,1.7340559268959623,0.002907003596192226,None,260.2258343018875,None,1,261.95766593031294,None,None,262.45722597669953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,8,3,2,L,0,3,3,3,,,,,,,None,263.4896868433425,None,262.50727248003386,263.5063552418578,262.99011723971853,None,1,[4.029627434530994],[4.538109001248813],263.4896868433425,None,[0 2 2 3 3 1 2 3],space,0,1.3595620114574558,0.0024849457513482776,None,267.52789334123736,None,1,268.8850460030226,None,None,269.38462208504495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,1,1,2,L,0,4,4,4,,,,,,,None,270.41708102741177,None,269.4346637776871,270.4337349938578,269.9175175173259,None,6,"[0.9085760486668732, 0.9248451599341934, 0.9585042731741851, 0.9919943708518986, 1.0420338826479565, 1.4162138204046641]","[0.9167279227840481, 0.9331298090874043, 0.9667462675461138, 1.0328573316182883, 1.066822725442762, 1.9240331155051535]",270.41708102741177,None,[0 3 3 3 2 3 1 1],space,0,4.31137942589703,0.0031600458751199767,None,271.84086110063436,None,1,276.1538291807483,None,None,276.6534023763546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,4,1,0,L,0,5,5,5,,,,,,,None,277.6858481695017,None,276.6950516603938,None,277.1862926772337,None,1,[0.008662127940624487],[0.5176282914726471],277.6858481695017,None,[1 3 0 3 2 3 3 2],space,0,2.5761062300371123,0.0021741751916124485,None,277.7025075880629,None,1,280.2836283248289,None,None,280.78317939126134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,5,3,2,L,0,6,6,6,,,,,,,None,281.8156408993309,None,280.8332117832397,None,281.3160693714308,None,1,[0.008813504311547149],[0.5175067413802026],281.8156408993309,None,[3 1 1 1 1 3 3 0],space,0,3.503019345127541,0.0024676272660144605,None,281.8323041664444,None,1,285.3376244685787,None,None,285.8371854771052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,5,2,0,L,0,7,7,7,,,,,,,None,286.86132000194993,None,285.87883059188243,None,286.36174398407456,None,1,[0.008624925274489215],[0.5170240688421472],286.86132000194993,None,[1 1 1 1 0 1 3 0],space,0,2.2015228357668093,0.0030516449951392133,None,286.8779544049248,None,1,289.0760826617625,None,None,289.5756555366555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
1,6,4,2,L,0,8,8,8,,,,,,,None,290.6081039596487,None,289.62565938520856,None,290.10020698794324,None,1,[0.00859125044735265],[0.516328122394043],290.6081039596487,None,[3 2 0 2 2 1 2 1],space,0,1.821735558052751,0.0017264603338844609,None,290.6164302373036,None,1,292.43986605757163,None,None,292.93943925317797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_DS,7,29,M,2022-11-25_17h19.18.478,dynamic target,2022.1.3,120.10122525372583,
