tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,4.069500068479101,26.25135799016425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,8,3,0,mix,0,0,0,0,,,,,26.25135799016425,None,None,69.18984216621539,None,68.24177628994221,69.24812742160066,68.69026631263841,None,2,"[0.009596132425940596, 0.20917811167237232]","[0.08384051837856532, 0.717011751341488]",69.18984216621539,None,[0 3 0 2 1 2 2 1],space,0,1.895755902693054,0.0067687675582419615,None,69.4146628621238,None,1,71.31304026552607,None,None,71.81259530465759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,7,4,2,mix,0,1,1,1,,,,,,,None,72.84507029605447,None,71.85424436671019,None,72.34547808597927,None,1,[0.009226988731825259],[0.5174823694578663],72.84507029605447,None,[0 1 3 3 1 0 1 2],space,0,3.7713275382193387,0.0019592838652897626,None,72.86171704093431,None,1,76.63352851017407,None,None,77.1330979815095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,6,3,2,mix,0,2,2,2,,,,,,,None,78.16556655859677,None,77.19142169070255,None,77.6659794799707,None,1,[0.009240779505489627],[0.517541381137562],78.16556655859677,None,[1 0 0 3 0 3 0 2],space,0,1.539106649819587,0.0023954571297508664,None,78.18221458633707,None,1,79.72256462179212,None,None,80.22215365678058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,5,2,2,mix,0,3,3,3,,,,,,,None,81.24627913741642,None,80.26378155160273,81.26292363728498,80.74670424598662,None,2,"[0.008684979318786645, 0.9004954094380082]","[0.22510998140933225, 1.4079470767901512]",81.24627913741642,None,[3 0 2 1 3 2 1 2],space,0,3.071264645885094,0.0026725554307631683,None,82.15383285648204,None,1,85.22623120325807,None,None,85.72580099530678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,6,3,1,mix,0,4,4,4,,,,,,,None,86.75826636523561,None,85.7674401151744,None,86.25869083237558,None,1,[0.008691072911460651],[0.5179021862204536],86.75826636523561,None,[0 1 3 1 0 2 3 1],space,0,1.473426654101786,0.0021279802931530867,None,86.77491246868522,None,1,88.24866077170009,None,None,88.74825108954902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,5,1,2,mix,0,5,5,5,,,,,,,None,89.78069272652283,None,88.79825864240411,None,89.28111462793458,None,1,[0.008661887790367473],[0.5173585732263746],89.78069272652283,None,[2 3 3 2 1 3 1 2],space,0,3.2836508760228753,0.0025965458335122094,None,89.79734716857638,None,1,93.08622022836789,None,None,93.5858156776696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,4,2,2,mix,0,6,6,6,,,,,,,None,94.61825057961323,None,93.62743363030313,None,94.11868402678738,None,1,[0.00872731377967284],[0.5177299619281257],94.61825057961323,None,[0 0 3 1 0 3 3 1],space,0,3.9809546517790295,0.002010919084568741,None,94.63490566310065,None,1,98.6148641432519,None,None,99.11445542325164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,5,1,1,mix,0,7,7,7,,,,,,,None,100.13856903740452,None,99.14774310806024,None,99.63899222168402,None,1,[0.009671179883298464],[0.5176866653164325],100.13856903740452,None,[1 3 1 0 0 2 1 1],space,0,1.2290301174471097,0.0023710827408649493,None,100.1552202723069,None,0,101.39583460951326,None,None,101.89540792943735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
1,4,2,2,mix,0,8,8,8,,,,,,,None,102.92786399861143,None,101.93704608715416,None,102.42829135218926,None,1,[0.008614421876700362],[0.5175449090093025],102.92786399861143,None,[2 2 3 3 3 2 3 1],space,0,4.151812697586138,0.00239192925801035,None,102.94451876138191,None,1,107.0993506470586,None,None,107.59890023402404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
