tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,1.318692807763,38.675921715072036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,6,1,0,mix,0,0,0,0,,,,,38.675921715072036,None,None,137.29154573088454,None,136.34340866042476,137.34982325469173,136.79197484578253,None,4,"[0.007941512085380964, 0.3406646341973101, 0.38223329610627843, 0.9156914298255288]","[0.19069346635660622, 0.37388608121909783, 0.6323793811898213, 1.4239908583767829]",137.29154573088454,None,[0 1 0 1 1 3 0 2],space,0,2.0533426493639126,0.007215865316538839,None,138.22407911877963,None,1,140.28064659726078,None,None,140.7802233193488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,5,2,2,mix,0,1,1,1,,,,,,,None,141.81267146155005,None,140.83016959980523,141.82933670638522,141.3131079528648,None,1,[0.11633952802367276],[0.616430610709358],141.81267146155005,None,[3 3 0 3 3 3 3 1],space,0,3.207312796050246,0.002903805780078983,None,141.92923260272437,None,1,145.13483219939735,None,None,145.63439545150868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,4,1,2,mix,0,2,2,2,,,,,,,None,146.66686123296313,None,145.68438438688827,None,146.16728040574162,None,1,[0.0087827440656838],[0.5174628597524134],146.66686123296313,None,[0 1 0 1 2 3 2 0],space,0,2.4528790898148145,0.002406058152701007,None,146.6835210256686,None,1,149.13974713650896,None,None,149.63929788078713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
1,3,4,2,mix,0,3,3,3,,,,,,,None,150.6634433873005,None,149.67262541989476,150.6717703972281,150.16387987861526,None,3,"[0.008686209250299726, 0.40823611967425677, 1.099680376748438]","[0.2672734783263877, 0.750485079439386, 1.6082142470004328]",150.6634433873005,None,[0 0 2 2 1 2 2 1],space,0,1.9890764390511322,0.002568018557212781,None,151.77083692799715,None,1,153.76077710207028,None,None,154.26038685766434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,2,1,2,mix,0,4,4,4,,,,,,,None,155.2844848985551,None,154.29366436543933,155.29281254990929,154.78491914487313,None,2,"[0.008634895057184622, 0.3499133752338821]","[0.16671627038158476, 0.8587984269615845]",155.2844848985551,None,[2 1 1 1 1 0 1 2],space,0,3.3965431666110817,0.0022755276841053274,None,155.6425190648224,None,1,159.0396049320625,None,None,159.53916433561062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,1,1,2,mix,0,5,5,5,,,,,,,None,160.5716496806017,None,159.5974773944945,160.59660890185842,160.07205762840022,None,2,"[0.08308953748564818, 0.6417971383380063]","[0.46610986495943507, 1.1496578305777803]",160.5716496806017,None,[2 3 1 0 1 1 3 2],space,0,2.698819977151288,0.0026302370133635122,None,161.22109038801864,None,1,163.91877637469224,None,None,164.41833962680357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,8,4,2,mix,0,6,6,6,,,,,,,None,165.44246492835373,None,164.45163605668495,None,164.942877686859,None,1,[0.008630405067378888],[0.5176414972702332],165.44246492835373,None,[2 2 3 1 0 2 0 1],space,0,2.557160424985341,0.0024737287385505624,None,165.45913722889236,None,1,168.01528617602162,None,None,168.51486129453951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,7,1,2,mix,0,7,7,7,,,,,,,None,169.5472953253411,None,168.56480180215294,169.56395255233656,169.04772379881615,None,1,[0.08280121588904876],[0.5828284765520948],169.5472953253411,None,[0 3 0 2 2 2 3 1],space,0,1.5208261310035596,0.0029980955987412017,None,169.63056382105788,None,1,171.15425461971972,None,None,171.65382781395783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
0,6,3,2,mix,0,8,8,8,,,,,,,None,172.68628653970882,None,171.71212612001182,172.71126917306538,172.1783578561699,None,1,[0.16676341529091587],[0.6669096607292886],172.68628653970882,None,[2 2 3 2 3 3 0 2],space,0,5.010384655801317,0.002912785766966408,None,172.84446188414222,None,1,177.85684335638507,None,None,178.35642617203303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_HXY,21,23,F,2022-12-12_16h43.20.623,dynamic target,2022.1.3,120.13924850522953,
