tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,5.44655714719886,54.406264652512164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,4,2,0,L,0,0,0,0,,,,,54.406264652512164,None,None,128.11780639024326,None,127.1697347009333,None,127.6182309803578,None,1,[0.00893374290342308],[0.5089824910696734],128.11780639024326,None,[0 0 3 2 1 0 0 1],space,0,4.144597214343094,0.006451819813946713,None,128.13442820004457,None,1,132.28087699234084,None,None,132.78045560934245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,5,2,2,L,0,1,1,1,,,,,,,None,133.81291736608534,None,132.82207432427674,None,133.31334327111745,None,1,[0.008647026714584172],[0.5174993088664905],133.81291736608534,None,[2 0 2 2 0 2 2 0],space,0,2.2859733109362423,0.002642054401690075,None,133.82955460211554,None,1,136.11926174750636,None,None,136.61880348267167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,4,4,1,L,0,2,2,2,,,,,,,None,137.6512620322983,None,136.66044272314957,None,137.1517023693533,None,1,[0.008657930909748757],[0.5175634511906537],137.6512620322983,None,[1 3 2 2 3 1 3 0],space,0,2.68730189089581,0.002485226419139508,None,137.66790407900282,None,1,140.35727659388874,None,None,140.85683179894207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,5,1,2,L,0,3,3,3,,,,,,,None,141.88927110587144,None,140.9068255771366,None,141.38969989730822,None,1,[0.00862425618947782],[0.5174483157187524],141.88927110587144,None,[0 0 2 0 0 0 0 3],space,0,2.7365385010252794,0.002360790310376615,None,141.90593207456163,None,1,144.64527498776488,None,None,145.14482826854854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,6,2,2,L,0,4,4,4,,,,,,,None,146.1772618026688,None,145.19483102666845,None,145.6776809727569,None,1,[0.008638046789315013],[0.5170766109505394],146.1772618026688,None,[0 3 0 3 0 2 3 2],space,0,4.6724904661215305,0.0028232564673089655,None,146.1939224506474,None,1,150.86489894697547,None,None,151.36447339472616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,7,2,2,L,0,5,5,5,,,,,,,None,152.39691751232976,None,151.41448000138553,None,151.8973649050405,None,1,[0.008803213273836263],[0.517131773349206],152.39691751232976,None,[1 1 3 3 3 3 0 3],space,0,9.156546929326623,0.0029727080824386576,None,152.413559879746,None,1,161.5723474102216,None,None,162.07191640587476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,8,3,2,L,0,6,6,6,,,,,,,None,163.10436148561325,None,162.1219082597995,None,162.60479733270563,None,1,[0.009230080440829624],[0.5178238690264152],163.10436148561325,None,[0 1 3 1 1 1 2 2],space,0,2.5604444093671646,0.002191454574699492,None,163.12100641872246,None,1,165.68549030071847,None,None,166.18505737210185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,1,4,2,L,0,7,7,7,,,,,,,None,167.217490906222,None,166.23506269591473,None,166.71793060185394,None,1,[0.008779480613952728],[0.5172443431280271],167.217490906222,None,[3 0 3 1 1 1 1 0],space,0,2.399770773850719,0.0028145972535185138,None,167.23414770566114,None,1,169.6320860430793,None,None,170.13163836172808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,2,4,2,L,0,8,8,8,,,,,,,None,171.15577540693494,None,170.16495994632578,171.16410204274064,170.65620227410204,None,2,"[0.008592826450694702, 0.7915284666840989]","[0.4998021209300987, 1.291876118080836]",171.15577540693494,None,[0 1 1 0 0 2 2 2],space,0,5.317812277782991,0.0024922820748543018,None,171.94676219169196,None,1,177.26718549254576,None,None,177.7667775794355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,3,4,2,L,0,9,9,9,,,,,,,None,178.79919924722572,None,177.80839437010002,None,178.29963958428084,None,1,[0.00912713201068982],[0.5176667203323859],178.79919924722572,None,[0 0 2 1 2 2 3 1],space,0,5.312863697477155,0.0025041484047960694,None,178.81585476381838,None,1,184.12795207028978,None,None,184.62752106594283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
